Datetime,Match,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2,Red Score,Blue Score,Winner
2-Mar-2024 14:32 EST,Qualifier #68,66852B,5839B,64840D,9080S,42,98,Blue
2-Mar-2024 14:35 EST,Qualifier #69,21078B,24K,21078A,53A,44,50,Blue
2-Mar-2024 14:38 EST,Qualifier #70,26648A,1727K,20096G,593C,62,39,Red
2-Mar-2024 14:41 EST,Qualifier #71,1727A,1893A,1727Y,53E,43,75,Blue
2-Mar-2024 14:50 EST,Qualifier #72,7135D,898A,64840B,929T,95,75,Red
2-Mar-2024 14:53 EST,Qualifier #73,1727B,5588H,1727N,76763A,52,75,Blue
2-Mar-2024 14:58 EST,Qualifier #74,676V,9080R,7135S,5588B,131,77,Red
2-Mar-2024 15:02 EST,Qualifier #75,2528A,9080H,1893X,53C,90,52,Red
2-Mar-2024 15:05 EST,Qualifier #76,1727R,21146S,64840D,24K,60,29,Red
2-Mar-2024 15:08 EST,Qualifier #77,593C,1893C,53F,21146P,73,92,Blue
2-Mar-2024 15:11 EST,Qualifier #78,21078A,64840A,5839B,9080C,75,141,Blue
2-Mar-2024 15:15 EST,Qualifier #79,53A,64840C,593A,20096G,92,101,Blue
2-Mar-2024 15:21 EST,Qualifier #80,53B,1727D,183A,53D,93,93,None
2-Mar-2024 15:24 EST,Qualifier #81,929N,593B,5588E,1727K,74,99,Blue
2-Mar-2024 15:29 EST,Qualifier #82,5525A,21078B,24Z,9080S,42,119,Blue
2-Mar-2024 15:32 EST,Qualifier #83,26648A,929S,26648B,676D,77,84,Blue
2-Mar-2024 15:35 EST,Qualifier #84,41001M,12699A,934Z,66852B,151,71,Red
2-Mar-2024 15:38 EST,Qualifier #85,64840D,1727Y,1893X,9080R,41,88,Blue
2-Mar-2024 15:42 EST,Qualifier #86,53E,7135S,53F,9080C,80,115,Blue
2-Mar-2024 15:45 EST,Qualifier #87,53D,7135D,5588B,1727B,96,65,Red
2-Mar-2024 15:48 EST,Qualifier #88,593A,183A,21078A,5588E,115,64,Red
2-Mar-2024 15:52 EST,Qualifier #89,1727K,24Z,64840B,24K,86,58,Red
2-Mar-2024 15:55 EST,Qualifier #90,64840A,929T,676V,53A,69,106,Blue
2-Mar-2024 15:59 EST,Qualifier #91,64840C,1727D,1893A,593B,123,65,Red
2-Mar-2024 16:02 EST,Qualifier #92,9080S,76763A,21146P,898A,85,35,Red
2-Mar-2024 16:06 EST,Qualifier #93,5525A,593C,934Z,676D,107,86,Red
2-Mar-2024 16:10 EST,Qualifier #94,66852B,26648A,9080H,1727N,62,175,Blue
2-Mar-2024 16:14 EST,Qualifier #95,1727A,21078B,41001M,53C,78,78,None
2-Mar-2024 16:17 EST,Qualifier #96,20096G,26648B,1893C,5839B,158,135,Red
2-Mar-2024 16:22 EST,Qualifier #97,53B,2528A,1727R,929S,86,141,Blue
2-Mar-2024 16:25 EST,Qualifier #98,5588H,12699A,929N,21146S,143,119,Red
22-Feb-2024 14:39 EST,Qualifier #99,53D,593B,929T,76763A,,,None
22-Feb-2024 14:42 EST,Qualifier #100,64840B,21146P,9080R,64840C,,,None
22-Feb-2024 14:45 EST,Qualifier #101,1727B,676V,26648A,1727Y,,,None
22-Feb-2024 14:48 EST,Qualifier #102,9080S,5588E,9080H,41001M,,,None
22-Feb-2024 14:51 EST,Qualifier #103,1893C,593A,1727N,24Z,,,None
22-Feb-2024 14:54 EST,Qualifier #104,7135D,1727R,1727K,66852B,,,None
22-Feb-2024 14:57 EST,Qualifier #105,183A,24K,26648B,5588H,,,None
22-Feb-2024 15:00 EST,Qualifier #106,1893X,5839B,5525A,53F,,,None
22-Feb-2024 15:03 EST,Qualifier #107,53A,53C,929N,7135S,,,None
22-Feb-2024 15:06 EST,Qualifier #108,12699A,676D,53E,64840D,,,None
22-Feb-2024 15:09 EST,Qualifier #109,20096G,1727D,21078B,2528A,,,None
22-Feb-2024 15:12 EST,Qualifier #110,898A,929S,1893A,21078A,,,None
22-Feb-2024 15:15 EST,Qualifier #111,64840A,934Z,53B,21146S,,,None
22-Feb-2024 15:18 EST,Qualifier #112,5588B,9080C,593C,1727A,,,None
2-Mar-2024 18:20 EST,QF #1-1,20096G,1727N,53A,1727Y,84,113,Blue
2-Mar-2024 18:26 EST,QF #2-1,53D,9080R,53F,53C,60,87,Blue
2-Mar-2024 18:32 EST,QF #3-1,1727K,1727R,929S,929N,93,71,Red
2-Mar-2024 18:37 EST,QF #4-1,1893C,1727B,53B,676D,124,72,Red
2-Mar-2024 18:55 EST,SF #1-1,53A,1727Y,53F,53C,84,105,Blue
2-Mar-2024 19:06 EST,SF #2-1,1727K,1727R,1893C,1727B,117,109,Red
2-Mar-2024 19:29 EST,Final #1-1,53F,53C,1727K,1727R,70,130,Blue
2-Mar-2024 19:45 EST,Final #1-2,53F,53C,1727K,1727R,84,119,Blue
2-Mar-2024 17:23 EST,R16 #1-1,20096G,1727N,24Z,24K,78,58,Red
2-Mar-2024 17:32 EST,R16 #2-1,9080H,53E,53A,1727Y,72,73,Blue
2-Mar-2024 17:41 EST,R16 #3-1,9080C,1727D,53D,9080R,75,112,Blue
2-Mar-2024 17:46 EST,R16 #4-1,26648B,12699A,53F,53C,130,155,Blue
2-Mar-2024 17:51 EST,R16 #5-1,1727K,1727R,76763A,676V,133,40,Red
2-Mar-2024 17:59 EST,R16 #6-1,593A,183A,929S,929N,83,105,Blue
,R16 #7-1,1893C,1727B,929T,5839B,106,70,Red
2-Mar-2024 18:05 EST,R16 #8-1,7135D,9080S,53B,676D,,39,Blue
