Datetime,Match,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2,Red Score,Blue Score,Winner
2-Feb-2024 15:40 EST,Qualifier #67,11342B,53E,80708Y,99921A,85,133,Blue
2-Feb-2024 15:44 EST,Qualifier #68,26571A,55286A,53D,9451B,104,66,Red
2-Feb-2024 15:49 EST,Qualifier #69,7316E,7316X,11342A,50805H,119,93,Red
2-Feb-2024 15:52 EST,Qualifier #70,1575A,62629Y,53C,20164W,114,83,Red
2-Feb-2024 15:57 EST,Qualifier #71,7405M,26038G,4610H,1140R,70,80,Blue
2-Feb-2024 16:01 EST,Qualifier #72,8889A,1140D,20096G,60883W,108,70,Red
2-Feb-2024 16:05 EST,Qualifier #73,169Y,1229W,2072X,20164X,67,114,Blue
2-Feb-2024 16:08 EST,Qualifier #74,7405K,26038F,9039J,53F,68,60,Red
2-Feb-2024 16:13 EST,Qualifier #75,99921B,11865A,47969A,11342B,74,124,Blue
2-Feb-2024 16:16 EST,Qualifier #76,1575M,9451B,169E,26038D,51,67,Blue
2-Feb-2024 16:19 EST,Qualifier #77,60883X,2011K,1575T,80708Y,70,87,Blue
2-Feb-2024 16:23 EST,Qualifier #78,26571A,62629W,53A,9451A,52,50,Red
2-Feb-2024 16:26 EST,Qualifier #79,48425A,7316N,53D,62629K,125,32,Red
2-Feb-2024 16:30 EST,Qualifier #80,2011D,53E,62629X,82856A,78,75,Red
2-Feb-2024 16:33 EST,Qualifier #81,46R,80508X,7316V,55286A,110,103,Red
2-Feb-2024 16:37 EST,Qualifier #82,26508Z,62629P,338A,2068B,44,126,Blue
2-Feb-2024 16:41 EST,Qualifier #83,1575K,169X,53B,20164T,104,70,Red
2-Feb-2024 16:45 EST,Qualifier #84,7405R,842T,83757A,87867D,98,83,Red
2-Feb-2024 16:48 EST,Qualifier #85,7316R,62629Z,19589A,99921A,65,93,Blue
2-Feb-2024 16:51 EST,Qualifier #86,169E,53A,7316X,60883X,57,79,Blue
2-Feb-2024 16:54 EST,Qualifier #87,9451A,53F,7316E,80708Y,63,140,Blue
2-Feb-2024 16:58 EST,Qualifier #88,53D,62629W,2072X,8889A,105,118,Blue
2-Feb-2024 17:03 EST,Qualifier #89,26038D,7316N,11865A,26038F,76,69,Red
2-Feb-2024 17:07 EST,Qualifier #90,2011D,1575A,9451B,62629P,134,25,Red
2-Feb-2024 17:10 EST,Qualifier #91,1575T,9039J,53B,48425A,70,50,Red
2-Feb-2024 17:18 EST,Qualifier #92,1575M,83757A,7405K,53C,85,60,Red
2-Feb-2024 17:21 EST,Qualifier #93,62629K,82856A,7405R,7405M,77,80,Blue
2-Feb-2024 17:24 EST,Qualifier #94,842T,7316V,1575K,1229W,67,100,Blue
2-Feb-2024 17:27 EST,Qualifier #95,19589A,11342A,169X,80508X,93,110,Blue
2-Feb-2024 17:32 EST,Qualifier #96,2068B,20164T,2011K,26571A,71,115,Blue
2-Feb-2024 17:36 EST,Qualifier #97,169Y,20096G,26508Z,87867D,96,80,Red
2-Feb-2024 17:39 EST,Qualifier #98,338A,11342B,62629Z,62629Y,88,82,Red
2-Feb-2024 17:42 EST,Qualifier #99,7316R,62629X,20164X,26038G,122,47,Red
2-Feb-2024 17:46 EST,Qualifier #100,60883W,4610H,53E,47969A,62,113,Blue
2-Feb-2024 17:49 EST,Qualifier #101,1140R,20164W,99921B,55286A,75,93,Blue
2-Feb-2024 17:53 EST,Qualifier #102,99921A,50805H,46R,1140D,83,46,Red
3-Feb-2024 09:00 EST,Qualifier #103,82856A,7316X,53F,842T,120,66,Red
3-Feb-2024 09:03 EST,Qualifier #104,48425A,1575M,2011K,7405M,70,102,Blue
3-Feb-2024 09:07 EST,Qualifier #105,60883X,2068B,8889A,1575K,66,83,Blue
3-Feb-2024 09:11 EST,Qualifier #106,1229W,87867D,9451B,7316N,121,63,Red
3-Feb-2024 09:14 EST,Qualifier #107,169E,169X,62629Y,62629P,51,93,Blue
3-Feb-2024 09:17 EST,Qualifier #108,80708Y,53B,26038F,53A,91,32,Red
3-Feb-2024 09:23 EST,Qualifier #109,1575T,9451A,2072X,60883W,50,100,Blue
3-Feb-2024 09:26 EST,Qualifier #110,7316R,20164T,1140R,11865A,80,125,Blue
3-Feb-2024 09:30 EST,Qualifier #111,62629X,169Y,62629Z,46R,66,41,Red
3-Feb-2024 09:33 EST,Qualifier #112,53C,1140D,11342B,19589A,22,98,Blue
3-Feb-2024 09:37 EST,Qualifier #113,26571A,338A,50805H,7405K,86,111,Blue
3-Feb-2024 09:44 EST,Qualifier #114,7316E,53D,83757A,26508Z,77,37,Red
3-Feb-2024 09:47 EST,Qualifier #115,99921A,7405R,4610H,80508X,62,85,Blue
3-Feb-2024 09:50 EST,Qualifier #116,99921B,62629K,1575A,53E,89,37,Red
3-Feb-2024 09:54 EST,Qualifier #117,26038G,62629W,26038D,7316V,48,87,Blue
3-Feb-2024 09:58 EST,Qualifier #118,47969A,2011D,55286A,11342A,71,42,Red
3-Feb-2024 10:01 EST,Qualifier #119,9039J,20164W,20164X,20096G,55,83,Blue
3-Feb-2024 10:04 EST,Qualifier #120,11865A,53F,1575M,53A,50,117,Blue
3-Feb-2024 10:11 EST,Qualifier #121,60883W,1229W,48425A,60883X,60,103,Blue
3-Feb-2024 10:13 EST,Qualifier #122,7405K,53B,7316E,87867D,49,129,Blue
3-Feb-2024 10:17 EST,Qualifier #123,62629Y,19589A,842T,26508Z,128,60,Red
3-Feb-2024 10:20 EST,Qualifier #124,9451A,1140D,338A,53D,42,83,Blue
3-Feb-2024 10:24 EST,Qualifier #125,46R,26038F,62629K,169X,122,73,Red
3-Feb-2024 10:27 EST,Qualifier #126,2072X,26038D,53C,2011D,55,73,Blue
3-Feb-2024 10:32 EST,Qualifier #127,80508X,2011K,169E,1140R,135,73,Red
3-Feb-2024 10:35 EST,Qualifier #128,8889A,53E,20164X,7405R,59,122,Blue
3-Feb-2024 10:38 EST,Qualifier #129,47969A,80708Y,7316X,26571A,123,82,Red
3-Feb-2024 10:41 EST,Qualifier #130,1575K,26038G,82856A,1575T,53,92,Blue
