"Time","D","P","I"
2023-12-13 20:16:47,-3,-3326,0
2023-12-13 20:16:47,1,-3240,0
2023-12-13 20:16:47,-2,-3339,0
2023-12-13 20:16:47,0,-3226,0
2023-12-13 20:16:47,-1,-3318,0
2023-12-13 20:16:47,3,-3230,0
2023-12-13 20:16:47,-1,-3320,0
2023-12-13 20:16:47,2,-3217,0
2023-12-13 20:16:47,-3,-3331,0
2023-12-13 20:16:47,1,-3239,0
2023-12-13 20:16:48,-1,-3320,0
2023-12-13 20:16:48,1,-3269,0
2023-12-13 20:16:48,-2,-3292,0
2023-12-13 20:16:48,1,-3265,0
2023-12-13 20:16:48,-1,-3290,0
2023-12-13 20:16:48,5,-3192,0
2023-12-13 20:16:48,-19,-3306,0
2023-12-13 20:16:48,8,-3182,0
2023-12-13 20:16:48,-4,-2839,0
2023-12-13 20:16:48,3,-3118,0
2023-12-13 20:16:48,2,-2790,0
2023-12-13 20:16:48,0,-3023,0
2023-12-13 20:16:48,6,-2736,0
2023-12-13 20:16:48,-1,-2880,0
2023-12-13 20:16:48,4,-2687,0
2023-12-13 20:16:48,-2,-2740,0
2023-12-13 20:16:48,4,-2603,0
2023-12-13 20:16:48,-3,-2609,0
2023-12-13 20:16:48,3,-2545,0
2023-12-13 20:16:48,-1,-2473,0
2023-12-13 20:16:49,0,-2427,0
2023-12-13 20:16:49,1,-2393,0
2023-12-13 20:16:49,0,-2349,0
2023-12-13 20:16:49,1,-2317,0
2023-12-13 20:16:49,0,-2259,0
2023-12-13 20:16:49,1,-2209,0
2023-12-13 20:16:49,0,-2179,0
2023-12-13 20:16:49,1,-2126,0
2023-12-13 20:16:49,1,-2066,0
2023-12-13 20:16:49,1,-2028,0
2023-12-13 20:16:49,0,-1979,0
2023-12-13 20:16:49,0,-1922,0
2023-12-13 20:16:49,0,-1889,0
2023-12-13 20:16:49,0,-1836,0
2023-12-13 20:16:49,1,-1789,0
2023-12-13 20:16:49,0,-1754,0
2023-12-13 20:16:49,1,-1711,0
2023-12-13 20:16:49,0,-1652,0
2023-12-13 20:16:49,1,-1599,0
2023-12-13 20:16:49,0,-1573,0
2023-12-13 20:16:50,1,-1522,0
2023-12-13 20:16:50,0,-1488,0
2023-12-13 20:16:50,0,-1421,0
2023-12-13 20:16:50,1,-1399,0
2023-12-13 20:16:50,0,-1335,0
2023-12-13 20:16:50,1,-1306,0
2023-12-13 20:16:50,0,-1261,0
2023-12-13 20:16:50,1,-1193,0
2023-12-13 20:16:50,0,-1189,0
2023-12-13 20:16:50,1,-1136,0
2023-12-13 20:16:50,0,-1102,0
2023-12-13 20:16:50,2,-1033,0
2023-12-13 20:16:50,0,-1017,0
2023-12-13 20:16:50,1,-952,0
2023-12-13 20:16:50,0,-930,0
2023-12-13 20:16:50,0,-883,0
2023-12-13 20:16:50,1,-827,0
2023-12-13 20:16:50,0,-796,0
2023-12-13 20:16:50,1,-752,0
2023-12-13 20:16:50,0,-718,0
2023-12-13 20:16:51,2,-667,0
2023-12-13 20:16:51,0,-638,0
2023-12-13 20:16:51,0,-600,0
2023-12-13 20:16:51,1,-564,0
2023-12-13 20:16:51,0,-530,0
2023-12-13 20:16:51,1,-466,0
2023-12-13 20:16:51,0,-436,0
2023-12-13 20:16:51,1,-393,0
2023-12-13 20:16:51,0,-361,0
2023-12-13 20:16:51,0,-321,0
2023-12-13 20:16:51,1,-281,0
2023-12-13 20:16:51,0,-241,0
2023-12-13 20:16:51,0,-216,0
2023-12-13 20:16:51,1,-196,0
2023-12-13 20:16:51,1,-147,0
2023-12-13 20:16:51,1,-106,0
2023-12-13 20:16:51,1,-64,0
2023-12-13 20:16:51,0,-43,0
2023-12-13 20:16:51,0,-2,0
2023-12-13 20:16:51,3,98,0
2023-12-13 20:16:52,2,172,0
2023-12-13 20:16:52,1,246,0
2023-12-13 20:16:52,0,296,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:52,0,299,0
2023-12-13 20:16:53,0,299,0
2023-12-13 20:16:53,0,299,0
2023-12-13 20:16:53,0,299,0
2023-12-13 20:16:53,0,299,0
2023-12-13 20:16:53,0,299,0
2023-12-13 20:16:53,0,299,0
2023-12-13 20:16:53,0,299,0
2023-12-13 20:16:53,0,299,0
2023-12-13 20:16:53,0,299,0
2023-12-13 20:16:53,0,299,0
2023-12-13 20:16:53,0,299,0
2023-12-13 20:16:53,0,293,0
2023-12-13 20:16:53,-7,-103,0
2023-12-13 20:16:53,-7,-462,0
2023-12-13 20:16:53,-7,-824,0
2023-12-13 20:16:53,-5,-1193,0
2023-12-13 20:16:53,-7,-1495,0
2023-12-13 20:16:53,-5,-1790,0
2023-12-13 20:16:53,-3,-2017,0
2023-12-13 20:16:53,-4,-2241,0
2023-12-13 20:16:54,-4,-2436,0
2023-12-13 20:16:54,-2,-2624,0
2023-12-13 20:16:54,-2,-2706,0
2023-12-13 20:16:54,-2,-2822,0
2023-12-13 20:16:54,0,-2904,0
2023-12-13 20:16:54,-2,-2991,0
2023-12-13 20:16:54,-1,-3016,0
2023-12-13 20:16:54,0,-3044,0
2023-12-13 20:16:54,0,-3113,0
2023-12-13 20:16:54,0,-3115,0
2023-12-13 20:16:54,0,-3163,0
2023-12-13 20:16:54,0,-3167,0
2023-12-13 20:16:54,-1,-3220,0
2023-12-13 20:16:54,0,-3190,0
2023-12-13 20:16:54,0,-3232,0
2023-12-13 20:16:54,0,-3217,0
2023-12-13 20:16:54,-1,-3257,0
2023-12-13 20:16:54,0,-3227,0
2023-12-13 20:16:54,0,-3257,0
2023-12-13 20:16:55,1,-3231,0
2023-12-13 20:16:55,-1,-3281,0
2023-12-13 20:16:55,0,-3232,0
2023-12-13 20:16:55,-2,-3307,0
2023-12-13 20:16:55,0,-3222,0
2023-12-13 20:16:55,-4,-3318,0
2023-12-13 20:16:55,0,-3216,0
2023-12-13 20:16:55,-2,-3274,0
2023-12-13 20:16:55,0,-3254,0
2023-12-13 20:16:55,-1,-3287,0
2023-12-13 20:16:55,0,-3258,0
2023-12-13 20:16:55,-1,-3317,0
2023-12-13 20:16:55,1,-3242,0
2023-12-13 20:16:55,-2,-3311,0
2023-12-13 20:16:55,3,-3229,0
2023-12-13 20:16:55,-1,-3272,0
2023-12-13 20:16:55,0,-3262,0
2023-12-13 20:16:55,0,-3297,0
2023-12-13 20:16:55,1,-3270,0
2023-12-13 20:16:55,-1,-3294,0
2023-12-13 20:16:55,1,-3269,0
2023-12-13 20:16:56,-1,-3295,0
2023-12-13 20:16:56,3,-3225,0
2023-12-13 20:16:56,-3,-3337,0
2023-12-13 20:16:56,1,-3245,0
2023-12-13 20:16:56,-1,-3316,0
2023-12-13 20:16:56,3,-3227,0
2023-12-13 20:16:56,-4,-3322,0
2023-12-13 20:16:56,2,-3282,0
2023-12-13 20:16:56,-2,-3289,0
2023-12-13 20:16:56,2,-3267,0
2023-12-13 20:16:56,-2,-3288,0
2023-12-13 20:16:56,1,-3243,0
2023-12-13 20:16:56,0,-3286,0
2023-12-13 20:16:56,4,-3235,0
2023-12-13 20:16:56,-2,-3305,0
2023-12-13 20:16:56,1,-3280,0
2023-12-13 20:16:56,-1,-3281,0
2023-12-13 20:16:56,2,-3268,0
2023-12-13 20:16:56,-1,-3295,0
2023-12-13 20:16:56,3,-3228,0
2023-12-13 20:16:57,-4,-3313,0
2023-12-13 20:16:57,1,-3243,0
2023-12-13 20:16:57,0,-3298,0
2023-12-13 20:16:57,2,-3248,0
2023-12-13 20:16:57,-2,-3286,0
2023-12-13 20:16:57,0,-3274,0
2023-12-13 20:16:57,-1,-3297,0
2023-12-13 20:16:57,1,-3273,0
2023-12-13 20:16:57,-1,-3301,0
2023-12-13 20:16:57,1,-3269,0
2023-12-13 20:16:57,-3,-3325,0
2023-12-13 20:16:57,2,-3247,0
2023-12-13 20:16:57,-4,-3323,0
2023-12-13 20:16:57,1,-3234,0
2023-12-13 20:16:57,-3,-3335,0
2023-12-13 20:16:57,2,-3283,0
2023-12-13 20:16:57,-3,-3328,0
2023-12-13 20:16:57,1,-3238,0
2023-12-13 20:16:57,-3,-3327,0
2023-12-13 20:16:57,3,-3232,0
2023-12-13 20:16:58,-2,-3305,0
2023-12-13 20:16:58,3,-3229,0
2023-12-13 20:16:58,-2,-3305,0
2023-12-13 20:16:58,1,-3238,0
2023-12-13 20:16:58,-2,-3283,0
2023-12-13 20:16:58,3,-3221,0
2023-12-13 20:16:58,-2,-3301,0
2023-12-13 20:16:58,2,-3253,0
2023-12-13 20:16:58,-2,-3299,0
2023-12-13 20:16:58,3,-3261,0
2023-12-13 20:16:58,0,-3278,0
2023-12-13 20:16:58,1,-3255,0
2023-12-13 20:16:58,-2,-3288,0
2023-12-13 20:16:58,1,-3265,0
2023-12-13 20:16:58,-2,-3311,0
