Datetime,Match,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2,Red Score,Blue Score,Winner
10-Feb-2024 14:11 EST,Qualifier #68,1727K,53F,55618A,9290A,78,64,Red
10-Feb-2024 14:14 EST,Qualifier #69,1727Y,53A,21078B,7135E,84,49,Red
10-Feb-2024 14:17 EST,Qualifier #70,12768A,5588S,7135P,929S,39,140,Blue
10-Feb-2024 14:20 EST,Qualifier #71,5525A,960W,20096G,1727B,53,118,Blue
10-Feb-2024 14:24 EST,Qualifier #72,5588V,5588T,11555A,7135J,87,97,Blue
10-Feb-2024 14:27 EST,Qualifier #73,960X,18990A,5588E,53D,45,109,Blue
10-Feb-2024 14:31 EST,Qualifier #74,929R,26648A,960Z,24Z,67,102,Blue
10-Feb-2024 14:34 EST,Qualifier #75,7135M,12699B,9290B,24K,36,150,Blue
10-Feb-2024 14:37 EST,Qualifier #76,1727Y,960V,53F,12699A,91,121,Blue
10-Feb-2024 14:40 EST,Qualifier #77,929X,5839B,5588S,5588P,66,22,Red
10-Feb-2024 14:44 EST,Qualifier #78,5588B,26648B,98719A,9290A,136,107,Red
10-Feb-2024 14:47 EST,Qualifier #79,5588H,53B,42442A,929S,106,113,Blue
10-Feb-2024 14:50 EST,Qualifier #80,7135E,1727R,12768A,960B,72,43,Red
10-Feb-2024 14:53 EST,Qualifier #81,5588R,9039N,6274C,53C,115,33,Red
10-Feb-2024 14:56 EST,Qualifier #82,7135P,55618A,21078B,934Z,15,106,Blue
10-Feb-2024 14:59 EST,Qualifier #83,21078A,53A,7135S,53E,123,59,Red
10-Feb-2024 15:03 EST,Qualifier #84,1727K,1727N,9290C,929T,110,80,Red
10-Feb-2024 15:37 EST,R16 #1-1,1727R,1727K,5588E,9290C,149,30,Red
10-Feb-2024 15:42 EST,R16 #2-1,934Z,929T,21078A,53E,87,69,Red
10-Feb-2024 15:47 EST,R16 #3-1,11555A,1727Y,7135J,18990A,92,104,Blue
10-Feb-2024 15:51 EST,R16 #4-1,1727B,1727N,5839B,5588B,101,70,Red
10-Feb-2024 15:54 EST,R16 #5-1,12699A,26648B,26648A,12699B,151,87,Red
10-Feb-2024 15:58 EST,R16 #6-1,20096G,53F,24K,24Z,123,73,Red
10-Feb-2024 16:04 EST,R16 #7-1,9290B,9039N,53B,53C,76,68,Red
10-Feb-2024 16:08 EST,R16 #8-1,53A,53D,5588R,929S,105,85,Red
10-Feb-2024 16:17 EST,QF #1-1,1727R,1727K,934Z,929T,47,74,Blue
10-Feb-2024 16:22 EST,QF #2-1,7135J,18990A,1727B,1727N,92,109,Blue
10-Feb-2024 16:25 EST,QF #3-1,12699A,26648B,20096G,53F,125,107,Red
10-Feb-2024 16:31 EST,QF #4-1,9290B,9039N,53A,53D,104,78,Red
10-Feb-2024 16:40 EST,SF #1-1,934Z,929T,1727B,1727N,45,166,Blue
10-Feb-2024 16:44 EST,SF #2-1,12699A,26648B,9290B,9039N,111,116,Blue
10-Feb-2024 17:25 EST,Final #1-1,1727B,1727N,9290B,9039N,77,115,Blue
