Datetime,Match,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2,Red Score,Blue Score,Winner
27-Jan-2024 15:27 EST,Qualifier #67,1893X,1727A,7135E,5588B,100,65,Red
27-Jan-2024 15:31 EST,Qualifier #68,1723A,9039X,53E,9080C,75,140,Blue
27-Jan-2024 15:34 EST,Qualifier #69,3389K,1727K,7135S,7135D,74,56,Red
27-Jan-2024 15:38 EST,Qualifier #70,1727Y,1723C,7135P,53F,74,43,Red
27-Jan-2024 15:43 EST,Qualifier #71,7135Z,55618A,24Z,21146P,81,106,Blue
27-Jan-2024 15:47 EST,Qualifier #72,76763B,12580A,53C,75368A,71,94,Blue
27-Jan-2024 14:26 EST,Qualifier #73,24K,1723B,1727R,76763C,,,None
27-Jan-2024 14:30 EST,Qualifier #74,1727A,12768A,2072X,934Z,,,None
27-Jan-2024 14:33 EST,Qualifier #75,9080C,842T,18990A,5839B,,,None
27-Jan-2024 14:37 EST,Qualifier #76,53E,7135E,9290C,9080S,,,None
27-Jan-2024 14:41 EST,Qualifier #77,9039Z,7135M,7135B,1723C,,,None
27-Jan-2024 14:45 EST,Qualifier #78,21146P,7135S,53D,1727D,,,None
27-Jan-2024 14:48 EST,Qualifier #79,7135P,9290A,9039V,21146S,,,None
27-Jan-2024 14:52 EST,Qualifier #80,7135J,9039P,5588B,9080R,,,None
27-Jan-2024 14:56 EST,Qualifier #81,3389Y,5588H,1893X,1727Y,,,None
27-Jan-2024 15:00 EST,Qualifier #82,9080H,3389K,76763A,7135Z,,,None
27-Jan-2024 15:03 EST,Qualifier #83,76763B,53F,55618A,1723A,,,None
27-Jan-2024 15:07 EST,Qualifier #84,24Z,3389N,9290B,7135X,,,None
27-Jan-2024 15:11 EST,Qualifier #85,7135D,1723D,45416B,9039X,,,None
27-Jan-2024 15:15 EST,Qualifier #86,1727K,5588E,7135B,7135E,,,None
27-Jan-2024 16:52 EST,R16 #1-1,12580A,18990A,21146P,21146S,116,84,Red
27-Jan-2024 16:57 EST,R16 #2-1,53E,9080C,76763A,76763B,120,51,Red
27-Jan-2024 17:01 EST,R16 #3-1,9080H,24K,9290B,9080R,75,88,Blue
27-Jan-2024 17:06 EST,R16 #4-1,2072X,1727Y,7135D,53C,98,69,Red
27-Jan-2024 17:10 EST,R16 #5-1,1727K,1727R,7135E,5839B,157,32,Red
27-Jan-2024 17:14 EST,R16 #6-1,75368A,9290C,24Z,7135Z,85,94,Blue
27-Jan-2024 17:20 EST,R16 #7-1,9039Z,842T,12768A,1727D,134,60,Red
27-Jan-2024 17:23 EST,R16 #8-1,3389K,9080S,1727A,1893X,102,77,Red
27-Jan-2024 17:32 EST,QF #1-1,12580A,18990A,53E,9080C,51,101,Blue
27-Jan-2024 17:35 EST,QF #2-1,9290B,9080R,2072X,1727Y,78,101,Blue
27-Jan-2024 17:40 EST,QF #3-1,1727K,1727R,24Z,7135Z,154,70,Red
27-Jan-2024 17:44 EST,QF #4-1,9039Z,842T,3389K,9080S,121,65,Red
27-Jan-2024 17:51 EST,SF #1-1,53E,9080C,2072X,1727Y,54,87,Blue
27-Jan-2024 17:55 EST,SF #2-1,1727K,1727R,9039Z,842T,89,84,Red
27-Jan-2024 18:14 EST,Final #1-1,2072X,1727Y,1727K,1727R,61,124,Blue
