"Time","Wattage","Temperature"
2024-02-24 17:27:36.468,9.81,40
2024-02-24 17:27:36.536,10.3,40
2024-02-24 17:27:36.581,9.66,40
2024-02-24 17:27:36.626,10.1,40
2024-02-24 17:27:36.673,10.4,40
2024-02-24 17:27:36.718,9.83,40
2024-02-24 17:27:35.010,10.5,40
2024-02-24 17:27:35.503,10.4,40
2024-02-24 17:27:35.819,10.1,40
2024-02-24 17:27:36.007,9.92,40
2024-02-24 17:27:36.228,9.87,40
2024-02-24 17:27:36.319,10.3,40
2024-02-24 17:27:36.403,10.7,40
2024-02-24 17:27:36.536,10.3,40
2024-02-24 17:27:36.626,10.1,40
2024-02-24 17:27:36.718,9.83,40
2024-02-24 17:27:36.762,10.4,40
2024-02-24 17:27:36.810,10.4,40
2024-02-24 17:27:36.852,9.80,40
2024-02-24 17:27:36.918,10.3,40
2024-02-24 17:27:36.986,10.8,40
2024-02-24 17:27:37.034,10.0,40
2024-02-24 17:27:37.082,10.0,40
2024-02-24 17:27:37.127,10.1,40
2024-02-24 17:27:37.168,10.2,40
2024-02-24 17:27:37.213,10.3,40
2024-02-24 17:27:35.503,10.4,40
2024-02-24 17:27:36.007,9.92,40
2024-02-24 17:27:36.319,10.3,40
2024-02-24 17:27:36.536,10.3,40
2024-02-24 17:27:36.718,9.83,40
2024-02-24 17:27:36.810,10.4,40
2024-02-24 17:27:36.918,10.3,40
2024-02-24 17:27:37.034,10.0,40
2024-02-24 17:27:37.127,10.1,40
2024-02-24 17:27:37.213,10.3,40
2024-02-24 17:27:37.258,9.99,40
2024-02-24 17:27:37.302,10.2,40
2024-02-24 17:27:37.417,10.4,40
2024-02-24 17:27:37.450,9.97,40
2024-02-24 17:27:37.484,9.64,40
2024-02-24 17:27:37.528,9.80,40
2024-02-24 17:27:37.573,10.4,40
2024-02-24 17:27:37.619,9.82,40
2024-02-24 17:27:37.664,10.1,40
2024-02-24 17:27:37.709,10.4,40
2024-02-24 17:27:36.007,9.92,40
2024-02-24 17:27:36.536,10.3,40
2024-02-24 17:27:36.810,10.4,40
2024-02-24 17:27:37.034,10.0,40
2024-02-24 17:27:37.213,10.3,40
2024-02-24 17:27:37.302,10.2,40
2024-02-24 17:27:37.450,9.97,40
2024-02-24 17:27:37.528,9.80,40
2024-02-24 17:27:37.619,9.82,40
2024-02-24 17:27:37.709,10.4,40
2024-02-24 17:27:37.755,9.97,40
2024-02-24 17:27:37.819,10.2,40
2024-02-24 17:27:37.887,10.4,40
2024-02-24 17:27:37.934,9.87,40
2024-02-24 17:27:37.978,10.3,40
2024-02-24 17:27:38.024,9.78,40
2024-02-24 17:27:38.068,10.1,40
2024-02-24 17:27:38.113,10.4,40
2024-02-24 17:27:38.158,9.96,40
2024-02-24 17:27:38.202,9.66,40
2024-02-24 17:27:36.536,10.3,40
2024-02-24 17:27:37.034,10.0,40
2024-02-24 17:27:37.302,10.2,40
2024-02-24 17:27:37.528,9.80,40
2024-02-24 17:27:37.709,10.4,40
2024-02-24 17:27:37.819,10.2,40
2024-02-24 17:27:37.934,9.87,40
2024-02-24 17:27:38.024,9.78,40
2024-02-24 17:27:38.113,10.4,40
2024-02-24 17:27:38.202,9.66,40
